 8,main-captions,MSRvid,En kvinna bär en pojke.,En kvinna bär sitt barn.,2.333,A woman is carrying a boy,A woman is carrying her baby
16,main-captions,MSRvid,En man hittar något.,En kvinna skär något.,0.8,A man is finding something,A woman is slicing something
17,main-captions,MSRvid,Flickan sjöng i en mikrofon.,Damen sjöng i mikrofonen.,2.4,The girl sang into a microphone,The lady sang into the microphone
20,main-captions,MSRvid,En man talar.,En man spottar.,0.636,A man is speaking,A man is spitting
23,main-captions,MSRvid,Ett djur tuggar på något.,Ett djur tuggar på en nyckelring.,3.2,An animal is chewing on something,An animal is chewing on a key chain
25,main-captions,MSRvid,En man spelar fotboll.,En man spelar flöjt.,1.0,A man is playing soccer,A man is playing flute
29,main-captions,MSRvid,En kvinna läser.,En kvinna knådar deg.,1.0,A woman is reading,A woman is kneading dough
30,main-captions,MSRvid,En man gråter.,En kvinna dansar.,0.6,A man is crying,A woman is dancing
39,main-captions,MSRvid,En man äter mat.,En man äter något.,4.2,A man is eating food,A man is eating something
42,main-captions,MSRvid,Ett plan landar.,Ett animerat flygplan landar.,2.8,A plane is landing,A animated airplane is landing
49,main-captions,MSRvid,En man borrar ett hål i ett bräde.,Någon borrar ett hål i en träbit.,4.0,A man is drilling a hole in a board,Someone is drilling a hole in a piece of wood
60,main-captions,MSRvid,En ung man spelar piano.,En kvinna skalar en räka.,0.0,A young man is playing the piano,A woman is peeling a prawn
69,main-captions,MSRvid,Ett plan åker på en väg.,Ett flygplan rör sig längs en landningsbana.,2.812,A plane rides on a road,An airplane moves along a runway
75,main-captions,MSRvid,Kvinnan tärnar lök.,En kvinna dansar på järnvägsstationen.,0.4,The woman is dicing onions,A woman is dancing in railway station
79,main-captions,MSRvid,Damen knäckte ett ägg till mixern.,Damen skivade upp köttet.,1.154,The lady cracked an egg for the mixer,The lady sliced up the meat
81,main-captions,MSRvid,En kvinna skivar lite tonfisk.,En kvinna skär rå fisk.,2.8,A woman is slicing some tuna,A woman is cutting raw fish
88,main-captions,MSRvid,En man trycker på mikrovågsknappar.,En man slår på mikrovågsugnen.,2.75,A man is pressing microwave buttons,A man turns on the microwave
90,main-captions,MSRvid,Batman och Robin flyger en helikopter över vatten.,En helikopter flyger över vatten.,2.6,Batman and Robin fly a helicopter over water,A helicopter flies over water
95,main-captions,MSRvid,Pojken spelar piano.,Ett band spelar på scenen.,1.333,The boy is playing the piano,A band is playing on stage
100,main-captions,MSRvid,En man och en kvinna äter vid ett bord.,Ett par äter en måltid och pratar.,3.0,A man and woman are eating at a table,A couple are eating a meal and talking
106,main-captions,MSRvid,En man och en kvinna går genom skogen.,Mannen och kvinnan går.,3.0,A man and a woman walk through the woods,The man and woman are walking
107,main-captions,MSRvid,Ett barn spelar ett dataspel.,En pojke spelar ett spel på en bärbar dator.,3.091,A child is playing a computer game,A boy is playing a game on a laptop
108,main-captions,MSRvid,Män hoppar i vattnet från en bro.,Män hoppar i en flod.,2.75,Men are jumping into water from a bridge,Men jump in a river
111,main-captions,MSRvid,En person kokar soppa.,En kvinna lägger ägg i en panna.,0.25,A person is boiling soup,A woman is placing eggs into a pan
112,main-captions,MSRvid,En kvinna dansar.,En man bryter en pinne.,0.0,A woman is dancing,A man breaks a stick
115,main-captions,MSRvid,Elefanterna badar.,Två kvinnor sjunger.,0.0,The elephants are bathing,Two women are singing
119,main-captions,MSRvid,En flicka dansar i en bur.,En lök hackas.,0.0,A girl is dancing in a cage,A onion is being chopped
120,main-captions,MSRvid,En katt är på en robot.,En man äter bröd.,0.0,A cat is on a robot,A man is eating bread
122,main-captions,MSRvid,En ko äter gräs.,En hund drar en flicka nerför en kulle.,0.0,A cow is eating grass,A dog is pulling a girl down a hill
132,main-captions,MSRvid,En person skalar räkor.,En person förbereder räkor.,3.6,A person is peeling shrimp,A person is preparing shrimp
133,main-captions,MSRvid,En kvinna skär broccoli.,En kvinna skivar broccoli.,5.0,A woman is cutting broccoli,A woman is slicing broccoli
135,main-captions,MSRvid,Mannen skär en potatis.,En man skivar potatis.,5.0,The man is slicing a potato,A man is slicing potato
136,main-captions,MSRvid,Mannen skär en potatis.,En man skivar potatis.,5.0,The man is slicing a potato,A man is slicing potato
137,main-captions,MSRvid,En person skalar räkor.,En man skalar räkor.,3.8,A person is peeling shrimp,A man is peeling shrimp
138,main-captions,MSRvid,En kvinna sätter på solglasögon.,En kvinna tar på sig solglasögon.,5.0,A woman is putting on sun glasses,A woman puts on sunglasses
140,main-captions,MSRvid,Kvinnor springer.,Två kvinnor springer.,3.824,Women are running,Two women are running
143,main-captions,MSRvid,Mannen krossar vitlök.,En man krossar lite vitlök.,5.0,The man is smashing garlic,A man is smashing some garlic
144,main-captions,MSRvid,En man skär upp en potatis.,En man skär upp morötter.,2.375,A man is cutting up a potato,A man is cutting up carrots
